latitude,longitude,acq_date,acq_time,bright_ti4,frp,is_fire
47.30555,-53.71023,2025-10-15,1818,0.0,0.0,0
53.80904,-113.09531,2025-05-01,2032,332.41,2.76,1
50.51538,-104.62785,2025-09-01,2026,336.9,5.33,1
48.11792,-80.66381,2025-11-01,1801,0.0,0.0,0
45.27896,-66.01719,2020-06-01,636,300.3,1.06,1
52.29044,-101.69731,2025-10-01,755,0.0,0.0,0
50.68198,-98.7594,2024-10-15,1901,330.62,5.34,1
60.83411,-125.59489,2024-08-01,1059,0.0,0.0,0
53.42974,-90.26768,2025-09-01,1845,367.0,38.74,1
45.47139,-72.64785,2022-09-01,625,0.0,0.0,0
59.66815,-77.3043,2022-08-15,1629,0.0,0.0,0
46.41857,-73.08109,2022-11-15,619,0.0,0.0,0
64.30177,-140.06441,2021-04-15,2023,0.0,0.0,0
48.50143,-71.22843,2020-09-15,1635,0.0,0.0,0
50.86039,-105.1195,2020-07-01,2023,0.0,0.0,0
53.26032,-109.94128,2023-05-15,946,316.73,1.67,1
51.80964,-95.93169,2025-09-15,1923,0.0,0.0,0
50.45227,-105.73034,2021-04-01,1945,0.0,0.0,0
55.63596,-123.42718,2024-11-01,2025,342.93,9.6,1
59.90643,-112.72122,2023-10-15,834,0.0,0.0,0
51.08052,-122.26488,2022-09-15,1024,298.73,0.93,1
52.25334,-110.58014,2023-09-15,2109,0.0,0.0,0
66.5896,-83.24453,2022-09-01,1125,0.0,0.0,0
52.18456,-99.34898,2023-07-01,824,0.0,0.0,0
60.26525,-123.70275,2022-09-15,1022,0.0,0.0,0
55.16843,-102.01714,2022-08-15,1003,296.87,1.56,1
55.46046,-96.22187,2021-07-15,1837,367.0,102.17,1
46.52,-84.39399,2022-11-15,759,307.69,1.51,1
53.55491,-113.35631,2025-09-15,935,301.9,1.38,1
46.80656,-83.6773,2022-08-15,824,0.0,0.0,0
49.19474,-122.07977,2021-08-15,1049,0.0,0.0,0
53.69379,-72.57167,2021-06-15,628,298.18,0.55,1
47.67648,-82.54094,2020-04-01,720,0.0,0.0,0
49.91219,-121.51701,2020-10-15,1049,312.91,1.27,1
64.90719,-137.40715,2020-06-15,2028,356.4,38.7,1
58.87845,-127.26488,2025-06-01,2234,367.0,20.01,1
54.15533,-108.28017,2020-06-15,854,301.0,1.11,1
54.20284,-114.24399,2021-10-15,2135,357.31,18.52,1
47.70189,-69.19616,2025-06-15,1804,0.0,0.0,0
46.48734,-81.03125,2023-10-01,759,301.21,0.86,1
52.15057,-102.11239,2020-06-15,1843,334.7,3.17,1
57.59076,-102.30623,2022-07-15,1935,0.0,0.0,0
59.32345,-96.25283,2020-05-01,939,0.0,0.0,0
45.11249,-73.01078,2022-04-01,553,296.5,0.6,1
55.65541,-124.49573,2021-11-15,1024,326.24,3.92,1
55.09264,-108.90089,2023-05-01,2039,0.0,0.0,0
54.15792,-108.2837,2025-07-15,856,320.16,3.13,1
50.74715,-119.51382,2020-08-15,952,0.0,0.0,0
49.75711,-122.17313,2020-05-15,2003,0.0,0.0,0
46.20988,-71.36649,2021-04-15,1659,0.0,0.0,0
53.98432,-128.19026,2025-07-15,1217,0.0,0.0,0
55.91453,-123.64923,2023-06-15,2136,0.0,0.0,0
58.67149,-115.77799,2020-10-15,1858,0.0,0.0,0
43.27248,-79.79298,2022-10-15,1725,330.97,6.56,1
