latitude,longitude,acq_date,acq_time,bright_ti4,frp,is_fire
43.26257,-79.81088,2022-05-01,631,301.38,1.24,1
49.04414,-103.2468,2020-09-01,2101,349.04,40.55,1
45.8365,-73.25185,2021-06-01,733,312.46,1.74,1
51.03965,-87.17547,2023-08-01,1831,367.0,103.6,1
46.04507,-73.14079,2022-06-15,1712,326.54,1.48,1
50.51616,-104.62828,2021-10-15,1952,331.48,2.68,1
51.97906,-90.84615,2021-08-15,1855,334.15,5.32,1
51.78203,-105.09606,2021-05-15,1920,0.0,0.0,0
51.07252,-119.21963,2022-11-01,2031,0.0,0.0,0
53.36368,-63.49019,2021-09-01,849,0.0,0.0,0
57.96967,-124.09347,2022-10-15,2052,0.0,0.0,0
46.75341,-82.72056,2024-09-15,1822,343.74,4.67,1
45.60123,-66.24882,2024-05-15,1828,337.34,7.74,1
55.21027,-126.04564,2024-08-01,2051,336.72,3.6,1
49.12675,-98.79037,2024-04-01,1855,328.73,2.52,1
54.60218,-116.62811,2020-06-15,854,296.68,0.83,1
55.25003,-117.90768,2020-10-15,1857,0.0,0.0,0
56.35143,-105.36514,2021-09-15,1732,0.0,0.0,0
52.30777,-113.55746,2021-08-15,908,303.49,1.75,1
51.51898,-86.94444,2020-08-15,810,300.83,1.12,1
58.83024,-116.09955,2022-08-15,2136,0.0,0.0,0
62.80269,-92.07922,2024-09-01,755,340.27,46.97,1
53.49494,-106.6964,2024-06-15,900,297.95,0.87,1
53.95855,-72.72986,2021-06-15,628,0.0,0.0,0
53.17242,-126.2647,2021-08-01,1151,0.0,0.0,0
53.78727,-108.60145,2023-08-15,1100,0.0,0.0,0
55.47715,-127.73093,2020-09-15,1010,305.33,0.48,1
63.36981,-100.06807,2022-11-15,2108,0.0,0.0,0
54.38605,-108.81633,2023-07-01,1004,0.0,0.0,0
63.5179,-131.09915,2022-09-01,1125,0.0,0.0,0
50.45227,-105.73034,2021-04-01,1945,0.0,0.0,0
46.75553,-83.56264,2020-07-01,714,0.0,0.0,0
56.8253,-120.24694,2021-04-15,2025,0.0,0.0,0
82.29307,-63.67586,2024-08-15,1803,0.0,0.0,0
51.69942,-108.28049,2021-04-15,1843,0.0,0.0,0
60.53064,-70.30106,2020-07-15,1741,0.0,0.0,0
64.91833,-117.46613,2020-07-01,2027,357.62,44.95,1
44.28286,-80.68767,2020-04-01,1846,0.0,0.0,0
52.64075,-85.01022,2023-10-01,758,0.0,0.0,0
42.81021,-79.28788,2023-09-01,1847,0.0,0.0,0
56.03445,-120.87391,2021-07-15,2019,332.29,3.32,1
64.73086,-139.07944,2022-04-01,914,0.0,0.0,0
58.57588,-69.17181,2025-10-15,1818,0.0,0.0,0
42.96568,-79.45303,2023-06-15,645,0.0,0.0,0
53.0384,-89.43647,2022-10-01,2011,0.0,0.0,0
50.41994,-121.42885,2024-08-01,2049,367.0,149.05,1
45.89524,-67.12587,2025-05-15,1745,0.0,0.0,0
51.59008,-61.27362,2021-04-01,1946,0.0,0.0,0
60.60748,-135.03821,2025-11-01,2127,328.54,4.74,1
51.068,-115.13383,2020-11-15,926,295.97,0.9,1
64.2854,-121.03709,2020-08-01,1055,0.0,0.0,0
45.45506,-74.16944,2021-09-01,709,0.0,0.0,0
46.33035,-73.67182,2024-10-01,655,0.0,0.0,0
49.72842,-108.52866,2020-07-01,1035,306.61,1.37,1
46.51682,-84.39349,2024-05-01,806,314.57,2.58,1
54.17161,-122.95049,2023-09-15,939,0.0,0.0,0
66.15767,-112.02032,2024-04-01,1048,0.0,0.0,0
61.1416,-77.2254,2022-05-01,951,0.0,0.0,0
78.07552,-85.20948,2024-10-15,1901,0.0,0.0,0
44.88687,-76.11363,2024-11-15,1736,0.0,0.0,0
51.84416,-90.47546,2021-07-15,1836,367.0,84.91,1
49.39852,-96.49977,2023-10-01,1927,329.52,3.7,1
62.23334,-139.52655,2021-06-15,2124,0.0,0.0,0
50.11464,-125.67989,2020-04-01,2030,331.42,4.77,1
49.67103,-113.38646,2020-05-15,2004,0.0,0.0,0
42.80621,-80.09709,2024-06-15,1705,342.0,11.6,1
50.72379,-112.85378,2025-04-15,2030,0.0,0.0,0
61.05051,-69.61101,2020-07-15,1741,335.83,4.36,1
50.19691,-99.45966,2021-04-01,1944,0.0,0.0,0
55.65541,-124.49573,2021-11-15,1024,326.24,3.92,1
56.54847,-112.14913,2022-06-01,1959,0.0,0.0,0
64.03099,-135.84467,2021-07-01,948,300.55,1.16,1
54.48741,-67.237,2022-04-01,914,0.0,0.0,0
57.00553,-111.46928,2022-05-01,1130,367.0,7.21,1
46.25756,-80.42456,2024-08-15,637,0.0,0.0,0
61.27912,-135.74502,2025-09-15,2108,0.0,0.0,0
59.10721,-122.24321,2025-10-15,2005,0.0,0.0,0
43.5453,-80.22142,2025-11-01,1800,0.0,0.0,0
44.38686,-77.57703,2023-08-01,704,0.0,0.0,0
46.39234,-83.67296,2020-05-01,758,0.0,0.0,0
