latitude,longitude,acq_date,acq_time,bright_ti4,frp,is_fire
55.73861,-115.50564,2021-11-01,2116,0.0,0.0,0
62.10869,-140.44048,2021-06-15,2124,0.0,0.0,0
42.55717,-82.2511,2023-11-15,1840,0.0,0.0,0
54.52779,-116.59816,2024-11-01,2024,0.0,0.0,0
52.99281,-116.66414,2023-04-15,2039,0.0,0.0,0
50.63505,-95.47451,2023-05-15,1754,0.0,0.0,0
56.84742,-112.71418,2021-08-01,1010,0.0,0.0,0
46.07291,-70.91737,2021-11-01,1751,328.17,5.5,1
52.16061,-107.54729,2022-07-15,1934,335.87,3.22,1
64.03099,-135.84467,2021-07-01,948,300.55,1.16,1
52.67539,-113.16095,2022-04-01,914,301.01,1.19,1
68.10751,-131.26546,2025-07-15,2212,367.0,36.15,1
55.50744,-118.31947,2020-08-01,913,310.28,2.12,1
54.10406,-113.57005,2021-05-15,1921,0.0,0.0,0
54.205,-116.81049,2025-08-01,2008,327.95,2.28,1
52.29768,-110.60881,2021-11-01,1935,0.0,0.0,0
49.94213,-100.8247,2022-10-01,2011,0.0,0.0,0
56.20929,-119.17481,2022-04-01,913,0.0,0.0,0
64.28401,-132.73102,2022-06-01,2143,0.0,0.0,0
46.27273,-66.26876,2020-08-15,1756,340.41,12.58,1
50.95026,-110.80761,2024-08-01,1909,0.0,0.0,0
50.86344,-100.49257,2024-10-01,1015,0.0,0.0,0
53.06453,-56.74949,2022-05-15,2017,0.0,0.0,0
44.48858,-80.65171,2023-04-15,1715,335.65,3.45,1
54.38569,-126.0531,2024-11-15,2102,0.0,0.0,0
50.71169,-110.73572,2020-09-01,1921,0.0,0.0,0
52.47357,-106.19694,2023-05-01,2038,0.0,0.0,0
52.28766,-107.4226,2023-04-15,2039,0.0,0.0,0
51.01376,-99.20794,2025-09-01,2026,367.0,9.6,1
51.52309,-104.72227,2023-05-01,2038,333.65,4.13,1
64.19371,-139.07073,2025-09-15,1923,0.0,0.0,0
51.47519,-97.10669,2020-09-01,752,0.0,0.0,0
53.94336,-116.00834,2022-07-01,907,0.0,0.0,0
50.86366,-123.39402,2021-11-01,2115,350.82,7.92,1
50.58688,-108.01623,2021-11-01,1934,326.21,2.47,1
57.46039,-97.59941,2022-08-15,1953,0.0,0.0,0
50.11142,-103.04834,2021-07-15,849,0.0,0.0,0
51.92952,-108.31609,2020-10-15,907,302.79,1.36,1
49.8455,-124.37289,2023-06-01,1109,311.57,1.56,1
49.117,-91.56802,2021-07-01,811,0.0,0.0,0
49.96872,-115.73885,2025-06-01,922,298.28,0.71,1
51.84289,-107.3153,2023-05-15,1935,0.0,0.0,0
59.3257,-127.47075,2022-07-01,1046,0.0,0.0,0
52.73711,-74.64133,2022-06-15,1714,0.0,0.0,0
49.06233,-76.13297,2023-06-01,1734,349.66,16.75,1
57.64623,-111.28263,2025-07-01,1949,0.0,0.0,0
64.54941,-139.21312,2022-07-15,1933,0.0,0.0,0
47.01954,-70.96507,2020-06-15,1659,0.0,0.0,0
50.09575,-82.84648,2025-08-01,1826,0.0,0.0,0
51.41312,-85.71808,2025-09-01,1845,0.0,0.0,0
51.93424,-106.1869,2022-06-01,1958,0.0,0.0,0
46.03186,-72.80629,2022-08-15,1629,0.0,0.0,0
51.90305,-97.34159,2020-06-01,1945,0.0,0.0,0
56.70674,-117.61516,2022-05-15,2019,340.02,3.94,1
59.07705,-98.83174,2023-07-01,1955,0.0,0.0,0
47.15617,-67.76874,2024-10-15,1718,0.0,0.0,0
50.53919,-112.61547,2025-04-15,2030,0.0,0.0,0
60.48586,-133.13144,2024-07-01,2033,0.0,0.0,0
45.89777,-82.28469,2024-06-15,1846,325.9,2.05,1
46.35984,-63.21912,2023-04-15,1714,331.22,2.69,1
49.67165,-122.26432,2024-09-01,940,305.72,0.66,1
54.08573,-85.36427,2024-07-01,1709,328.75,3.71,1
57.76639,-116.27611,2021-06-15,950,0.0,0.0,0
43.9469,-76.66677,2024-10-01,1820,0.0,0.0,0
50.569,-96.24232,2023-05-15,1754,329.62,3.22,1
61.29551,-110.57071,2021-09-15,1914,0.0,0.0,0
48.87887,-90.76573,2023-11-15,1842,354.42,13.27,1
54.526,-88.6593,2020-07-15,1920,339.71,37.05,1
57.80675,-113.3878,2021-07-01,1941,367.0,43.56,1
56.45039,-116.11074,2022-04-01,2044,325.38,3.18,1
58.97135,-106.50338,2023-10-15,2006,0.0,0.0,0
57.33768,-111.75555,2021-04-01,1807,356.77,12.62,1
54.75106,-73.37002,2021-06-01,1902,0.0,0.0,0
62.48697,-105.1702,2024-07-01,2033,0.0,0.0,0
52.37486,-114.54339,2021-04-15,2023,335.69,4.53,1
50.62716,-103.99551,2024-05-15,2011,0.0,0.0,0
55.02971,-120.51287,2022-09-01,2116,367.0,347.48,1
53.73031,-108.53296,2024-04-01,1857,0.0,0.0,0
54.71194,-109.80782,2020-11-01,2018,0.0,0.0,0
53.34638,-112.5922,2023-05-01,2039,0.0,0.0,0
49.39614,-125.32688,2024-10-15,2223,342.21,6.0,1
46.97517,-67.57501,2020-05-15,1640,344.31,5.82,1
55.74287,-120.34966,2020-04-15,1928,0.0,0.0,0
50.59731,-96.29634,2020-04-15,1926,334.32,5.7,1
50.51239,-97.06901,2024-11-01,1842,0.0,0.0,0
45.39123,-63.26897,2024-08-15,1622,0.0,0.0,0
53.04832,-118.14606,2022-09-01,946,323.83,2.57,1
49.33035,-125.73333,2024-10-15,2223,0.0,0.0,0
45.10669,-76.23859,2024-06-15,1706,0.0,0.0,0
50.56579,-96.21651,2023-10-15,836,333.31,3.63,1
46.62509,-75.28825,2025-04-01,1809,0.0,0.0,0
81.9879,-82.5799,2022-07-15,1933,0.0,0.0,0
51.47629,-107.03727,2022-09-01,2115,332.21,3.45,1
52.06469,-113.35434,2022-08-15,1953,0.0,0.0,0
55.93313,-127.74738,2024-10-15,1053,0.0,0.0,0
47.62559,-79.5994,2022-05-01,1757,0.0,0.0,0
77.04755,-88.68449,2024-05-15,1828,0.0,0.0,0
48.25363,-82.88032,2023-06-01,1914,0.0,0.0,0
44.33989,-76.16388,2024-10-01,1820,331.93,5.75,1
55.64162,-100.44057,2022-08-15,1954,367.0,16.76,1
60.47048,-117.14648,2025-08-01,2150,0.0,0.0,0
51.24831,-114.48977,2025-10-15,1014,0.0,0.0,0
51.92035,-104.87018,2021-06-01,2042,0.0,0.0,0
47.41065,-84.1792,2020-11-15,1730,0.0,0.0,0
67.0182,-108.32215,2022-06-15,1714,0.0,0.0,0
54.24217,-92.71451,2024-10-15,731,0.0,0.0,0
49.89813,-122.65363,2023-07-01,2134,0.0,0.0,0
65.03046,-103.6407,2024-11-01,2023,0.0,0.0,0
69.20067,-91.45596,2023-09-01,1848,0.0,0.0,0
42.14748,-81.80006,2024-04-15,1750,0.0,0.0,0
44.59351,-76.32339,2024-10-01,1820,0.0,0.0,0
80.97121,-76.24085,2024-10-15,1901,0.0,0.0,0
69.07854,-72.62606,2025-06-01,922,0.0,0.0,0
53.73564,-96.99496,2023-07-01,1954,367.0,26.53,1
50.51754,-119.68463,2025-05-01,2031,0.0,0.0,0
53.57158,-109.01448,2021-04-01,1946,0.0,0.0,0
51.42649,-90.78927,2025-08-01,656,304.67,0.69,1
51.18547,-96.23684,2025-10-15,2002,0.0,0.0,0
44.82321,-79.02434,2021-09-01,1834,0.0,0.0,0
54.15608,-108.28093,2024-06-15,2030,329.0,3.1,1
52.17583,-114.73586,2024-08-15,958,310.59,0.97,1
59.1232,-107.04301,2023-09-01,900,0.0,0.0,0
54.703,-74.27415,2020-09-01,609,297.88,0.08,1
51.71244,-88.51154,2020-05-01,1744,0.0,0.0,0
59.41638,-127.80045,2022-07-01,1046,0.0,0.0,0
55.57646,-118.37717,2025-07-15,1037,0.0,0.0,0
55.57225,-122.53513,2024-11-01,2025,0.0,0.0,0
63.02858,-92.19833,2023-05-15,1938,338.86,11.23,1
53.6299,-108.85246,2024-04-01,1857,0.0,0.0,0
60.28585,-108.67237,2022-06-15,1858,0.0,0.0,0
53.73213,-116.12913,2022-10-01,1023,311.81,1.24,1
53.14589,-114.46308,2021-05-15,1112,0.0,0.0,0
56.14375,-97.94381,2022-11-01,1850,0.0,0.0,0
