latitude,longitude,acq_date,acq_time,bright_ti4,frp,is_fire
47.30555,-53.71023,2023,1818,0.0,0.0,0
53.80904,-113.09531,1856,2032,332.41,2.76,1
50.51538,-104.62785,1979,2026,336.9,5.33,1
48.11792,-80.66381,2040,1801,0.0,0.0,0
45.27896,-66.01719,61,636,300.3,1.06,1
52.29044,-101.69731,2009,755,0.0,0.0,0
50.68198,-98.7594,1658,1901,330.62,5.34,1
60.83411,-125.59489,1583,1059,0.0,0.0,0
53.42974,-90.26768,1979,1845,367.0,38.74,1
45.47139,-72.64785,883,625,0.0,0.0,0
59.66815,-77.3043,866,1629,0.0,0.0,0
46.41857,-73.08109,958,619,0.0,0.0,0
64.30177,-140.06441,379,2023,0.0,0.0,0
48.50143,-71.22843,167,1635,0.0,0.0,0
50.86039,-105.1195,91,2023,0.0,0.0,0
53.26032,-109.94128,1139,946,316.73,1.67,1
51.80964,-95.93169,1993,1923,0.0,0.0,0
50.45227,-105.73034,365,1945,0.0,0.0,0
55.63596,-123.42718,1675,2025,342.93,9.6,1
59.90643,-112.72122,1292,834,0.0,0.0,0
51.08052,-122.26488,897,1024,298.73,0.93,1
52.25334,-110.58014,1262,2109,0.0,0.0,0
66.5896,-83.24453,883,1125,0.0,0.0,0
52.18456,-99.34898,1186,824,0.0,0.0,0
60.26525,-123.70275,897,1022,0.0,0.0,0
55.16843,-102.01714,866,1003,296.87,1.56,1
55.46046,-96.22187,470,1837,367.0,102.17,1
46.52,-84.39399,958,759,307.69,1.51,1
53.55491,-113.35631,1993,935,301.9,1.38,1
46.80656,-83.6773,866,824,0.0,0.0,0
49.19474,-122.07977,501,1049,0.0,0.0,0
53.69379,-72.57167,440,628,298.18,0.55,1
47.67648,-82.54094,0,720,0.0,0.0,0
49.91219,-121.51701,197,1049,312.91,1.27,1
64.90719,-137.40715,75,2028,356.4,38.7,1
58.87845,-127.26488,1887,2234,367.0,20.01,1
54.15533,-108.28017,75,854,301.0,1.11,1
54.20284,-114.24399,562,2135,357.31,18.52,1
47.70189,-69.19616,1901,1804,0.0,0.0,0
46.48734,-81.03125,1278,759,301.21,0.86,1
52.15057,-102.11239,75,1843,334.7,3.17,1
57.59076,-102.30623,835,1935,0.0,0.0,0
59.32345,-96.25283,30,939,0.0,0.0,0
45.11249,-73.01078,730,553,296.5,0.6,1
55.65541,-124.49573,593,1024,326.24,3.92,1
55.09264,-108.90089,1125,2039,0.0,0.0,0
54.15792,-108.2837,1931,856,320.16,3.13,1
50.74715,-119.51382,136,952,0.0,0.0,0
49.75711,-122.17313,44,2003,0.0,0.0,0
46.20988,-71.36649,379,1659,0.0,0.0,0
53.98432,-128.19026,1931,1217,0.0,0.0,0
55.91453,-123.64923,1170,2136,0.0,0.0,0
58.67149,-115.77799,197,1858,0.0,0.0,0
43.27248,-79.79298,927,1725,330.97,6.56,1
46.03058,-75.5754,744,811,0.0,0.0,0
62.17231,-115.05987,866,1002,304.1,1.37,1
60.54032,-107.60464,91,852,312.62,1.23,1
55.65446,-119.0054,1125,908,314.04,1.06,1
60.30728,-109.42213,91,852,342.31,8.8,1
49.42528,-99.14671,136,811,0.0,0.0,0
49.35193,-121.19523,228,2054,0.0,0.0,0
45.11306,-73.01403,2009,615,300.08,1.08,1
43.26102,-79.81047,153,753,316.65,2.62,1
53.40335,-118.25917,440,2121,0.0,0.0,0
45.27776,-66.01601,228,605,295.62,1.87,1
58.02246,-64.74081,805,1712,0.0,0.0,0
44.64826,-76.0558,1644,1820,0.0,0.0,0
44.34403,-80.67369,91,1839,0.0,0.0,0
